spec,n,r2,adj_r2,aic,catchment_coef,catchment_se,catchment_t,catchment_p,residential_coef,residential_se,city,country,entropy_type,geo_catch_coef,geo_catch_se,centrality_coef,centrality_se,density_coef,density_se
Base,2212,0.03251981975637508,0.02944706056322388,-1785.8753256395134,0.14461525416837162,0.045557054302134525,3.1743767542405794,0.0015223031846618074,0.08600571430328863,0.018956140475050724,Sweden - Västerås,Sweden,birth,,,,,,
+ Geo Catchment,2212,0.03941223689422613,0.03592394724154968,-1799.6902160900713,0.0043797370254594625,0.05749546575938967,0.07617534648363469,0.9392865131884949,0.040480468995239605,0.022091927102154005,Sweden - Västerås,Sweden,birth,0.19707760060693147,0.049569297684344545,,,,
+ Geo + Centrality,2212,0.03949632170396167,0.03557055735125303,-1797.8838514321947,0.0005737145400814825,0.058155709075429746,0.009865145644383032,0.9921297739117287,0.04021976803197358,0.0221039525035039,Sweden - Västerås,Sweden,birth,0.19630345639993152,0.049609725424640226,-0.0007478414444412607,0.0017033018397252591,,
Full,2212,0.03964060951941362,0.03527732287479479,-1796.2161652275595,-0.003435641325523875,0.05858093273105815,-0.05864777437560983,0.9532379816091543,0.03917464095359424,0.022181892944612387,Sweden - Västerås,Sweden,birth,0.20544194342080857,0.05210004433827441,8.746652121616183e-05,0.002238770731595593,1.2983715525830691e-05,2.2578289370632422e-05
Base,2376,0.04189153154726022,0.03905928523004343,-3009.091984217185,0.10980254275244405,0.03980196048159609,2.758721968060225,0.005847395277003726,0.12142538198358821,0.01785437239104805,Sweden - Örebro,Sweden,birth,,,,,,
+ Geo Catchment,2376,0.054732434285706844,0.05153761361578102,-3039.151280168554,-0.011683781652244818,0.044973632731635405,-0.2597918145052623,0.7950469592505156,0.06351261235899042,0.020468150383200916,Sweden - Örebro,Sweden,birth,0.18064261930560122,0.03185669319305967,,,,
+ Geo + Centrality,2376,0.055308291648619834,0.051714789799438776,-3038.5991813539376,-0.002815397057922553,0.045571718885913555,-0.061779479175906316,0.9507436636090002,0.06366045986314184,0.020466608800126764,Sweden - Örebro,Sweden,birth,0.18071504610481526,0.031853774672793767,0.0007197848738218753,0.0005993533475799769,,
Full,2376,0.05599029723289595,0.051998712866016095,-3038.3151173183337,-0.03015104406547664,0.050134784680531334,-0.6013996920023692,0.5476314429994295,0.06544028260614443,0.020508794810058475,Sweden - Örebro,Sweden,birth,0.19261134364362675,0.03312382672409878,0.0009434152155105985,0.0006232067226432852,1.4116471751005229e-05,1.0799529983672302e-05
Base,2315,0.05086909493740299,0.04798920055706568,-2262.2784753732903,0.14683487688723673,0.05100707315357486,2.8787159860190044,0.0040297399055711685,0.1256422806640547,0.01598022600965476,Sweden - Linköping,Sweden,birth,,,,,,
+ Geo Catchment,2315,0.059920667833034735,0.05665933450374783,-2282.461873686989,0.09044018471513127,0.05216574502631262,1.733708292089241,0.0831035113592792,0.06571285480396583,0.02036659791759505,Sweden - Linköping,Sweden,birth,0.1581857231878132,0.03357050377920718,,,,
+ Geo + Centrality,2315,0.06020480507116621,0.056535322748233585,-2281.1616839155995,0.07539775477714272,0.05519341991871925,1.366064195481589,0.1720520763541073,0.06574212478544617,0.020367966750931332,Sweden - Linköping,Sweden,birth,0.15991797620431925,0.03363677609313369,-0.0005105807930898473,0.0006116198071171881,,
Full,2315,0.06044678675148729,0.056368864818985065,-2279.7578347842737,0.0829688870703933,0.056066489862136804,1.4798302386043325,0.1390552718141337,0.06692691399481987,0.02042774702649581,Sweden - Linköping,Sweden,birth,0.15204178604406948,0.035159264019235,-0.0006021827046410917,0.0006231254382577,-8.183205494899891e-06,1.0623109714586172e-05
Base,2354,0.07013126485701282,0.06735672046400298,-2078.2894218978445,-0.28951072265628675,0.07241275137610054,-3.9980627327998244,6.583622538055361e-05,0.16904526976987633,0.013265488466848024,Sweden - Helsingborg,Sweden,birth,,,,,,
+ Geo Catchment,2354,0.07540630436334461,0.07225204015648179,-2089.681417640467,-0.3217268139738074,0.07275754046180892,-4.4219033784228134,1.0229860896100657e-05,0.11677711660856538,0.01947434119462417,Sweden - Helsingborg,Sweden,birth,0.14004746643312416,0.03828833125676405,,,,
+ Geo + Centrality,2354,0.07776967527654588,0.0742286885348602,-2093.7062235832536,-0.2734802635885991,0.07529867637312115,-3.6319398528792926,0.0002873344009753912,0.13171271241632887,0.02038572858434489,Sweden - Helsingborg,Sweden,birth,0.09244808719744668,0.04289587626095512,-0.0046244889132733835,0.0018868557302709368,,
Full,2354,0.08217638483387624,0.07825908387285985,-2102.9813431927205,-0.3607375739508889,0.07951120122785106,-4.53694031004691,5.995718160250385e-06,0.107272154556183,0.0216071450181401,Sweden - Helsingborg,Sweden,birth,0.122919446917237,0.04375595778580499,-0.010678641751308726,0.0026082439345066575,-8.116766172249282e-05,2.4200218702850638e-05
Base,1990,0.015125997332405827,0.011647633044477801,-2395.6143921591047,0.07920664544751421,0.12918806665148627,0.6131111603457297,0.5398731873232512,0.07650247415601541,0.017937049627742476,Sweden - Lund,Sweden,birth,,,,,,
